Date_time,Op_min,Pxfmr_W,Pdc_W,Pgen_W,Damping,Pshore_W,WR_DateTime,WR_corr_EFlux_W/m,WR_corr_Te_s,WR_corr_Hm0_m
20160501_0000,30,556,549,0,21.1,369,20160501_0009,10452,7.15,1.65
20160501_0030,30,540,533,0,21.2,357,20160501_0039,10388,7.3,1.62
20160501_0100,30,592,586,0,21.3,404,20160501_0109,9935,7.38,1.57
20160501_0130,30,635,630,0,21.4,445,20160501_0139,9754,7.29,1.57
20160501_0200,30,552,547,0,21.5,383,20160501_0209,9896,7.09,1.61
20160501_0230,30,496,492,0,21.6,337,20160501_0239,8324,7.07,1.48
20160501_0300,30,492,488,0,21.6,333,20160501_0309,9217,7.2,1.54
20160501_0330,30,510,506,0,21.5,354,20160501_0339,8938,7.17,1.52
20160501_0400,30,524,520,0,21.4,362,20160501_0409,9252,7.14,1.55
20160501_0430,30,490,485,0,21.3,333,20160501_0439,8831,7.21,1.5
20160501_0500,30,406,400,0,21.2,263,20160501_0509,9210,7.17,1.54
20160501_0530,30,404,397,0,21.1,264,20160501_0539,7570,7,1.42
20160501_0600,30,420,413,0,21.1,276,20160501_0609,7682,7.07,1.42
20160501_0630,30,489,482,0,21.2,320,20160501_0639,7855,6.89,1.46
20160501_0700,30,583,578,0,21.3,399,20160501_0709,8068,6.87,1.48
20160501_0730,30,678,674,0,21.4,479,20160501_0739,8578,6.84,1.53
20160501_0800,30,657,653,0,21.5,463,20160501_0809,8522,6.63,1.55
20160501_0830,30,614,611,0,21.6,425,20160501_0839,9052,6.88,1.56
20160501_0900,30,568,564,0,21.6,391,20160501_0909,8060,6.76,1.49
20160501_0930,30,595,591,0,21.5,417,20160501_0939,8525,6.9,1.52
20160501_1000,30,689,685,0,21.4,487,20160501_1009,9742,6.87,1.62
20160501_1030,30,658,653,0,21.3,452,20160501_1039,9671,6.82,1.63
20160501_1100,30,618,612,0,21.2,416,20160501_1109,11098,6.7,1.76
20160501_1130,30,709,703,0,21.1,483,20160501_1139,10882,6.52,1.77
20160501_1200,30,638,633,0,21.1,430,20160501_1209,10290,6.58,1.71
20160501_1230,30,702,697,0,21.2,478,20160501_1239,10819,6.64,1.75
20160501_1300,30,797,793,0,21.3,557,20160501_1309,11072,6.66,1.77
20160501_1330,30,866,863,0,21.4,620,20160501_1339,10867,6.52,1.77
20160501_1400,30,761,759,0,21.5,542,20160501_1409,10090,6.65,1.69
