time,U,V
0,-5.9464903,-6.073085
6,-7.284775,-5.7883987
12,-9.797754,-5.722151
18,-11.115711,-4.762705
24,-9.605501,-5.299837
30,-8.681465,-3.4922476
36,-8.050758,-4.5628576
42,-6.251054,-5.307563
48,-4.2884417,-6.1070595
54,-2.6057873,-5.155945
60,-1.7373676,-5.7889996
66,-1.4171867,-4.7937136
72,-1.8956461,-6.198387
78,-1.7418804,-4.9193373
84,-1.2318335,-7.481162
90,-2.5422964,-5.0476055
96,-4.350939,-4.9057446
102,-4.212182,-3.8782244
108,-5.2204113,-5.2307587
114,-5.2629843,-1.9810171
120,-3.3117085,-3.5121346
126,-3.7708864,-3.838274
132,-4.4560566,-4.9501753
138,-5.021718,-4.859828
144,-5.261319,-4.815426
150,-5.156004,-3.2604914
156,-6.206311,-2.813651
162,-5.531105,-0.21259975
168,-5.669671,-0.6909056
174,-3.4851484,-1.311409
180,-5.5486603,-2.9338312
186,-5.0763836,-1.1226549
192,-4.4495516,-0.16110325
198,-1.6932621,-1.1311913
204,-1.88725,-3.3347416
210,-1.8864012,-2.2287226
216,-0.49890584,-4.2445364
222,0.36616832,-5.3814526
228,-0.49010897,-5.7705708
234,-3.4716196,-4.138114
240,-7.465788,-3.5827522
246,-6.786865,-2.8719254
252,-7.3957233,-3.6882305
258,-6.490098,-2.4443264
264,-5.651968,-1.2883825
270,-3.187768,-1.1914845
276,-0.24212086,-6.8108387
282,-2.0032387,-7.01079
288,-10.529086,-3.9066153
294,-11.185421,-4.1874285
300,-11.515159,-3.7205591
306,-11.352884,-2.0222769
312,-11.00028,-1.0285769
318,-9.887334,-0.082160294
324,-9.098282,-0.85773754
330,-8.209278,-0.5714504
336,-7.495529,-3.2283964
342,-8.363785,-2.6178741
348,-9.857301,-5.8948593
354,-10.907718,-6.725871
360,-11.000175,-6.5127096
366,-11.603636,-4.5622654
372,-10.238032,-3.2756243
378,-10.813179,-0.77444935
384,-9.439465,0.15535522
390,-7.7577477,3.528349
396,-5.0407124,3.0496616
402,-2.119506,3.1240053
408,2.6751533,-0.01878466
414,3.2846537,-5.2989464
420,-0.5824318,-6.8021593
426,-8.895863,-5.029381
432,-8.945108,-5.0789948
438,-7.3889914,-5.920002
444,-7.281887,-6.2761154
450,-7.6921587,-5.043685
456,-6.8267117,-5.129099
462,-6.2753735,-4.327368
468,-6.266981,-3.9346495
474,-5.2072,-4.2272263
480,-4.018957,-6.3250017
486,-5.563451,-5.0741262
492,-8.337475,-5.998913
498,-9.22411,-6.142997
504,-9.279197,-6.8006496
510,-10.371332,-4.36469
516,-9.7842455,-2.7782211
522,-8.177781,-1.1533365
528,-7.351921,-2.8305922
534,-6.1464186,-1.6187124
540,-6.8909826,-1.6777763
546,-7.071209,-1.3192234
552,-8.361976,-1.4056787
558,-6.6047974,-1.7499018
564,-7.353341,-1.517148
570,-6.3472004,-0.8807764
576,-6.606676,-0.49255466
582,-5.6268997,0.42531204
588,-5.5151224,-1.991106
594,-5.847122,-2.2628841
600,-6.6888046,-0.72938114
606,-5.597336,-0.48575646
612,-6.571595,-0.8070274
618,-6.385481,1.3270864
624,-5.737647,2.353611
630,-3.3530083,3.0284061
636,-5.120924,3.9039555
642,-4.2374077,4.4561644
648,-2.4226608,4.127595
654,1.8682501,1.9932203
660,1.1936812,-0.2629875
666,1.806715,-1.7214355
672,0.80720705,-3.5342207
678,1.36024,-2.9706821
684,-0.82541806,-3.6384192
690,-1.8921576,-3.3928757
696,-3.0389051,-4.9892416
702,-7.947521,-3.7310781
708,-9.017415,-3.8203344
714,-7.1554136,-3.0990915
720,-4.976364,-1.5679531
726,2.7537909,-7.9808817
732,1.9964523,-11.877768
738,-4.9150667,-10.251142
744,-4.845686,-9.6810255
750,-6.342902,-8.011456
756,-6.0842695,-8.981249
762,-5.849332,-6.5329
768,-7.6506176,-7.425498
774,-9.213074,-4.72054
780,-9.316553,-4.7340183
786,-8.461893,-1.1402025
792,-8.305207,-1.0548944
798,-6.9090595,-0.4857363
804,-7.515416,1.6066356
810,-4.132724,1.3616457
816,-3.2306156,-3.987585
822,-1.3888102,-7.6250362
828,-3.9356937,-7.314719
834,-5.8117704,-5.2792892
840,-4.0265894,-5.7388964
846,-1.6343956,-8.226217
852,-1.9579496,-9.200897
858,-4.5367126,-6.757416
864,-8.982236,-5.8206663
870,-10.995808,-6.018031
876,-10.634061,-5.1849136
882,-9.737959,-5.0079203
888,-9.195485,-5.234603
894,-8.899556,-3.9030237
900,-8.014868,-3.656207
906,-7.55035,-4.0448427
912,-6.5511627,-3.5525131
918,-5.3940077,-4.8944416
924,-7.3758144,-4.091689
930,-8.373146,-2.6763334
936,-8.745473,-1.0254345
942,-7.5511684,-1.6845293
948,-7.2820253,-0.4882288
954,-5.524151,-0.010819793
960,-4.145337,0.5346222
966,-1.1480112,-0.34939957
972,-0.5913989,-6.372773
978,-2.7012691,-4.7666407
984,-3.673458,-4.2193604
990,-4.7501974,-5.0027895
996,-6.404234,-5.321211
1002,-7.3015785,-3.5746946
1008,-6.8647165,-2.5543518
1014,-6.6421375,-1.3436441
1020,-5.8912764,-2.0064135
1026,-4.3029127,-2.5997734
1032,-5.048271,0.025820076
